Rank,Name,Country,Age,Net Worth ($bil)
1,Carlos Slim Helu   family,Mexico,70,53.5
2,William Gates III,United States,54,53
3,Warren Buffett,United States,79,47
4,Mukesh Ambani,India,52,29
5,Lakshmi Mittal,India,59,28.7
6,Lawrence Ellison,United States,65,28
7,Bernard Arnault,France,61,27.5
8,Eike Batista,Brazil,53,27
9,Amancio Ortega,Spain,74,25
10,Karl Albrecht,Germany,90,23.5
11,Ingvar Kamprad   family,Sweden,83,23
12,Christy Walton   family,United States,55,22.5
13,Stefan Persson,Sweden,62,22.4
14,Li Ka-shing,Hong Kong,81,21
15,Jim Walton,United States,62,20.7
16,Alice Walton,United States,60,20.6
17,Liliane Bettencourt,France,87,20
18,S. Robson Walton,United States,66,19.8
19,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,55,19.4
20,David Thomson   family,Canada,52,19
21,Michael Otto   family,Germany,66,18.7
22,Lee Shau Kee,Hong Kong,82,18.5
23,Michael Bloomberg,United States,68,18
24,Sergey Brin,United States,36,17.5
24,Charles Koch,United States,74,17.5
24,David Koch,United States,69,17.5
24,Larry Page,United States,37,17.5
28,Michele Ferrero   family,Italy,83,17
28,Kwok family,Hong Kong,NA,17
28,Azim Premji,India,64,17
31,Theo Albrecht,Germany,88,16.7
32,Vladimir Lisin,Russia,53,15.8
33,Steven Ballmer,United States,54,14.5
33,Robert Kuok,Malaysia,86,14.5
35,George Soros,United States,79,14
36,Anil Ambani,India,50,13.7
37,Paul Allen,United States,57,13.5
37,Michael Dell,United States,45,13.5
39,Mikhail Prokhorov,Russia,44,13.4
40,Birgit Rausing   family,Sweden,86,13
40,Shashi   Ravi Ruia,India,66,13
42,Mikhail Fridman,Russia,45,12.7
43,Jeffrey Bezos,United States,46,12.3
44,Savitri Jindal,India,60,12.2
45,Donald Bren,United States,77,12
45,Gerald Cavendish Grosvenor   family,United Kingdom,58,12
45,John Paulson,United States,54,12
48,Abigail Johnson,United States,48,11.5
48,Jorge Paulo Lemann,Brazil,70,11.5
50,Roman Abramovich,Russia,43,11.2
51,Susanne Klatten,Germany,47,11.1
52,Iris Fontbona   family,Chile,NA,11
52,Forrest Mars Jr,United States,78,11
52,Jacqueline Mars,United States,70,11
52,John Mars,United States,73,11
52,Ronald Perelman,United States,67,11
57,Oleg Deripaska,Russia,42,10.7
58,Vagit Alekperov,Russia,59,10.6
59,Leonardo Del Vecchio,Italy,74,10.5
59,Carl Icahn,United States,74,10.5
61,Vladimir Potanin,Russia,49,10.3
62,Philip Knight,United States,72,10.2
63,Ricardo Salinas Pliego   family,Mexico,54,10.1
64,Mohammed Al Amoudi,Saudi Arabia,65,10
64,Ernesto Bertarelli   family,Switzerland,44,10
64,Anne Cox Chambers,United States,90,10
64,George Kaiser,United States,67,10
64,Hans Rausing,Sweden,84,10
64,Joseph Safra,Brazil,71,10
70,Alexei Mordashov,Russia,44,9.9
71,Viktor Rashnikov,Russia,61,9.8
72,German Larrea Mota Velasco   family,Mexico,56,9.7
73,Sheldon Adelson,United States,76,9.3
74,Silvio Berlusconi   family,Italy,73,9
74,Dan Duncan,United States,77,9
74,Kushal Pal Singh,India,78,9
77,Nasser Al-Kharafi   family,Kuwait,66,8.7
77,Francois Pinault   family,France,73,8.7
79,Dmitry Rybolovlev,Russia,43,8.6
80,Iskander Makhmudov,Russia,46,8.5
80,James Simons,United States,71,8.5
82,Alberto Bailleres   family,Mexico,77,8.3
83,German Khan,Russia,48,8.2
84,Eliodoro Bernardo   Patricia Matte,Chile,NA,8.1
85,Edward Johnson III,United States,79,8
86,Kumar Birla,India,42,7.9
87,Sunil Mittal,India,52,7.8
88,John Fredriksen,Cyprus,65,7.7
89,Serge Dassault   family,France,84,7.6
89,Petr Kellner,Czech Republic,45,7.6
89,Ananda Krishnan,Malaysia,71,7.6
89,Tadashi Yanai   family,Japan,61,7.6
93,Mohamed Bin Issa Al Jaber,Saudi Arabia,51,7.5
93,Len Blavatnik,United States,52,7.5
93,David   Simon Reuben,United Kingdom,67,7.5
93,Nobutada Saji   family,Japan,64,7.5
93,Alain   Gerard Wertheimer,France,NA,7.5
93,Vladimir Yevtushenkov,Russia,61,7.5
99,August von Finck,Germany,80,7.3
100,Lee Kun-Hee,South Korea,68,7.2
100,Alisher Usmanov,Russia,56,7.2
100,Galen Weston   family,Canada,69,7.2
